run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,anomaly_sequences
2023-10-02_11.56.58,phoenixws_average_14,20742,27511,1,0.020775271476901225,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 4.312540346911732}, {'start_idx': 11200, 'end_idx': 11299, 'score': 7.081370381239828}, {'start_idx': 11300, 'end_idx': 11399, 'score': 8.600137729467061}, {'start_idx': 11400, 'end_idx': 11499, 'score': 9.106656411071572}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.88243599425022}, {'start_idx': 11600, 'end_idx': 11699, 'score': 10.006576610154335}, {'start_idx': 11700, 'end_idx': 11799, 'score': 10.12980194164007}, {'start_idx': 11800, 'end_idx': 11899, 'score': 9.944529125963422}, {'start_idx': 11900, 'end_idx': 11999, 'score': 9.875843296124437}, {'start_idx': 12000, 'end_idx': 12099, 'score': 9.94659871561835}, {'start_idx': 12100, 'end_idx': 12199, 'score': 9.829281455519887}, {'start_idx': 12200, 'end_idx': 12299, 'score': 9.815988792776274}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.746430456026143}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.852012418811945}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.75307264832213}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.264381625910445}, {'start_idx': 12700, 'end_idx': 12797, 'score': 8.797131680122305}]",0,1,1,[],"[(11107, 12804)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 4.312540346911732}, {'start_idx': 11200, 'end_idx': 11299, 'score': 7.081370381239828}, {'start_idx': 11300, 'end_idx': 11399, 'score': 8.600137729467061}, {'start_idx': 11400, 'end_idx': 11499, 'score': 9.106656411071572}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.88243599425022}, {'start_idx': 11600, 'end_idx': 11699, 'score': 10.006576610154335}, {'start_idx': 11700, 'end_idx': 11799, 'score': 10.12980194164007}, {'start_idx': 11800, 'end_idx': 11899, 'score': 9.944529125963422}, {'start_idx': 11900, 'end_idx': 11999, 'score': 9.875843296124437}, {'start_idx': 12000, 'end_idx': 12099, 'score': 9.94659871561835}, {'start_idx': 12100, 'end_idx': 12199, 'score': 9.829281455519887}, {'start_idx': 12200, 'end_idx': 12299, 'score': 9.815988792776274}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.746430456026143}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.852012418811945}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.75307264832213}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.264381625910445}, {'start_idx': 12700, 'end_idx': 12797, 'score': 8.797131680122305}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_15,20742,27511,1,0.019530905249351284,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 5.964904892515915}, {'start_idx': 11200, 'end_idx': 11299, 'score': 7.603584184078281}, {'start_idx': 11300, 'end_idx': 11399, 'score': 9.328695566295663}, {'start_idx': 11400, 'end_idx': 11499, 'score': 9.790259408905264}, {'start_idx': 11500, 'end_idx': 11599, 'score': 10.576995944711584}, {'start_idx': 11600, 'end_idx': 11699, 'score': 10.807867480796041}, {'start_idx': 11700, 'end_idx': 11799, 'score': 10.944539795743252}, {'start_idx': 11800, 'end_idx': 11899, 'score': 10.873625259575212}, {'start_idx': 11900, 'end_idx': 11999, 'score': 10.745547005850547}, {'start_idx': 12000, 'end_idx': 12099, 'score': 10.562886486053785}, {'start_idx': 12100, 'end_idx': 12199, 'score': 10.396560647758676}, {'start_idx': 12200, 'end_idx': 12299, 'score': 10.222981813278812}, {'start_idx': 12300, 'end_idx': 12399, 'score': 10.144841801884468}, {'start_idx': 12400, 'end_idx': 12499, 'score': 10.08724527364344}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.923188365239596}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.44350876668549}, {'start_idx': 12700, 'end_idx': 12762, 'score': 8.984040279745846}]",0,1,1,[],"[(11107, 12769)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 5.964904892515915}, {'start_idx': 11200, 'end_idx': 11299, 'score': 7.603584184078281}, {'start_idx': 11300, 'end_idx': 11399, 'score': 9.328695566295663}, {'start_idx': 11400, 'end_idx': 11499, 'score': 9.790259408905264}, {'start_idx': 11500, 'end_idx': 11599, 'score': 10.576995944711584}, {'start_idx': 11600, 'end_idx': 11699, 'score': 10.807867480796041}, {'start_idx': 11700, 'end_idx': 11799, 'score': 10.944539795743252}, {'start_idx': 11800, 'end_idx': 11899, 'score': 10.873625259575212}, {'start_idx': 11900, 'end_idx': 11999, 'score': 10.745547005850547}, {'start_idx': 12000, 'end_idx': 12099, 'score': 10.562886486053785}, {'start_idx': 12100, 'end_idx': 12199, 'score': 10.396560647758676}, {'start_idx': 12200, 'end_idx': 12299, 'score': 10.222981813278812}, {'start_idx': 12300, 'end_idx': 12399, 'score': 10.144841801884468}, {'start_idx': 12400, 'end_idx': 12499, 'score': 10.08724527364344}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.923188365239596}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.44350876668549}, {'start_idx': 12700, 'end_idx': 12762, 'score': 8.984040279745846}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_7,20742,27511,1,0.01775358864813088,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 6.430660957361662}, {'start_idx': 11200, 'end_idx': 11299, 'score': 9.68986813503568}, {'start_idx': 11300, 'end_idx': 11399, 'score': 10.989111866953627}, {'start_idx': 11400, 'end_idx': 11499, 'score': 12.22119470751308}, {'start_idx': 11500, 'end_idx': 11599, 'score': 12.210776824673433}, {'start_idx': 11600, 'end_idx': 11699, 'score': 11.943055074635529}, {'start_idx': 11700, 'end_idx': 11799, 'score': 11.808623459695122}, {'start_idx': 11800, 'end_idx': 11899, 'score': 11.310161019635517}, {'start_idx': 11900, 'end_idx': 11999, 'score': 11.04549227230751}, {'start_idx': 12000, 'end_idx': 12099, 'score': 11.02788527274328}, {'start_idx': 12100, 'end_idx': 12199, 'score': 10.906918591586992}, {'start_idx': 12200, 'end_idx': 12299, 'score': 10.754369133915144}, {'start_idx': 12300, 'end_idx': 12399, 'score': 10.564332451536766}, {'start_idx': 12400, 'end_idx': 12499, 'score': 10.355869643546095}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.164899799810911}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.695772545829332}, {'start_idx': 12700, 'end_idx': 12736, 'score': 9.234413823775201}]",0,1,1,[],"[(11107, 12743)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 6.430660957361662}, {'start_idx': 11200, 'end_idx': 11299, 'score': 9.68986813503568}, {'start_idx': 11300, 'end_idx': 11399, 'score': 10.989111866953627}, {'start_idx': 11400, 'end_idx': 11499, 'score': 12.22119470751308}, {'start_idx': 11500, 'end_idx': 11599, 'score': 12.210776824673433}, {'start_idx': 11600, 'end_idx': 11699, 'score': 11.943055074635529}, {'start_idx': 11700, 'end_idx': 11799, 'score': 11.808623459695122}, {'start_idx': 11800, 'end_idx': 11899, 'score': 11.310161019635517}, {'start_idx': 11900, 'end_idx': 11999, 'score': 11.04549227230751}, {'start_idx': 12000, 'end_idx': 12099, 'score': 11.02788527274328}, {'start_idx': 12100, 'end_idx': 12199, 'score': 10.906918591586992}, {'start_idx': 12200, 'end_idx': 12299, 'score': 10.754369133915144}, {'start_idx': 12300, 'end_idx': 12399, 'score': 10.564332451536766}, {'start_idx': 12400, 'end_idx': 12499, 'score': 10.355869643546095}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.164899799810911}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.695772545829332}, {'start_idx': 12700, 'end_idx': 12736, 'score': 9.234413823775201}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_1,20742,27511,2,0.007534135923691544,"[{'start_idx': 11400, 'end_idx': 11499, 'score': 9.603641278736571}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.401027315407084}, {'start_idx': 11600, 'end_idx': 11699, 'score': 9.794177226246205}, {'start_idx': 11700, 'end_idx': 11799, 'score': 9.68524976110923}, {'start_idx': 11800, 'end_idx': 11899, 'score': 10.231253463963665}, {'start_idx': 11900, 'end_idx': 11999, 'score': 10.150089902366155}, {'start_idx': 12000, 'end_idx': 12099, 'score': 10.097157223270255}, {'start_idx': 12100, 'end_idx': 12199, 'score': 10.046271168933101}, {'start_idx': 12200, 'end_idx': 12299, 'score': 10.029679321753052}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.645413265461299}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.238292953334389}, {'start_idx': 12500, 'end_idx': 12599, 'score': 8.912729915489944}, {'start_idx': 13200, 'end_idx': 13299, 'score': 9.120036231893254}, {'start_idx': 13300, 'end_idx': 13399, 'score': 8.767534131964094}, {'start_idx': 13400, 'end_idx': 13451, 'score': 8.367324848120333}]",0,1,1,[],"[(11407, 12606), (13207, 13458)]",2,"[{'start_idx': 11400, 'end_idx': 11499, 'score': 9.603641278736571}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.401027315407084}, {'start_idx': 11600, 'end_idx': 11699, 'score': 9.794177226246205}, {'start_idx': 11700, 'end_idx': 11799, 'score': 9.68524976110923}, {'start_idx': 11800, 'end_idx': 11899, 'score': 10.231253463963665}, {'start_idx': 11900, 'end_idx': 11999, 'score': 10.150089902366155}, {'start_idx': 12000, 'end_idx': 12099, 'score': 10.097157223270255}, {'start_idx': 12100, 'end_idx': 12199, 'score': 10.046271168933101}, {'start_idx': 12200, 'end_idx': 12299, 'score': 10.029679321753052}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.645413265461299}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.238292953334389}, {'start_idx': 12500, 'end_idx': 12599, 'score': 8.912729915489944}, {'start_idx': 13200, 'end_idx': 13299, 'score': 9.120036231893254}, {'start_idx': 13300, 'end_idx': 13399, 'score': 8.767534131964094}, {'start_idx': 13400, 'end_idx': 13451, 'score': 8.367324848120333}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_12,20742,27511,1,0.0219093878235986,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 4.008876875963023}, {'start_idx': 11200, 'end_idx': 11299, 'score': 6.135216121327815}, {'start_idx': 11300, 'end_idx': 11399, 'score': 8.108459492377216}, {'start_idx': 11400, 'end_idx': 11499, 'score': 9.048758715723567}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.45041247118311}, {'start_idx': 11600, 'end_idx': 11699, 'score': 9.789607711651204}, {'start_idx': 11700, 'end_idx': 11799, 'score': 9.995217683625212}, {'start_idx': 11800, 'end_idx': 11899, 'score': 9.956937909988168}, {'start_idx': 11900, 'end_idx': 11999, 'score': 10.004352605211276}, {'start_idx': 12000, 'end_idx': 12099, 'score': 9.95782556474308}, {'start_idx': 12100, 'end_idx': 12199, 'score': 9.793188881061221}, {'start_idx': 12200, 'end_idx': 12299, 'score': 9.576630017887894}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.415508291204803}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.437671167338614}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.287902138297284}, {'start_idx': 12600, 'end_idx': 12699, 'score': 8.882384923399707}, {'start_idx': 12700, 'end_idx': 12734, 'score': 8.464493491967085}]",0,1,1,[],"[(11107, 12741)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 4.008876875963023}, {'start_idx': 11200, 'end_idx': 11299, 'score': 6.135216121327815}, {'start_idx': 11300, 'end_idx': 11399, 'score': 8.108459492377216}, {'start_idx': 11400, 'end_idx': 11499, 'score': 9.048758715723567}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.45041247118311}, {'start_idx': 11600, 'end_idx': 11699, 'score': 9.789607711651204}, {'start_idx': 11700, 'end_idx': 11799, 'score': 9.995217683625212}, {'start_idx': 11800, 'end_idx': 11899, 'score': 9.956937909988168}, {'start_idx': 11900, 'end_idx': 11999, 'score': 10.004352605211276}, {'start_idx': 12000, 'end_idx': 12099, 'score': 9.95782556474308}, {'start_idx': 12100, 'end_idx': 12199, 'score': 9.793188881061221}, {'start_idx': 12200, 'end_idx': 12299, 'score': 9.576630017887894}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.415508291204803}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.437671167338614}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.287902138297284}, {'start_idx': 12600, 'end_idx': 12699, 'score': 8.882384923399707}, {'start_idx': 12700, 'end_idx': 12734, 'score': 8.464493491967085}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_5,20742,27511,1,0.01903123490802294,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 14.195664937484185}, {'start_idx': 11200, 'end_idx': 11299, 'score': 15.103590201024618}, {'start_idx': 11300, 'end_idx': 11399, 'score': 15.27738054453301}, {'start_idx': 11400, 'end_idx': 11499, 'score': 14.815916103976097}, {'start_idx': 11500, 'end_idx': 11599, 'score': 14.132792086190642}, {'start_idx': 11600, 'end_idx': 11699, 'score': 13.610763494895489}, {'start_idx': 11700, 'end_idx': 11799, 'score': 13.241258169189113}, {'start_idx': 11800, 'end_idx': 11899, 'score': 12.811934699946393}, {'start_idx': 11900, 'end_idx': 11999, 'score': 12.436661851824105}, {'start_idx': 12000, 'end_idx': 12099, 'score': 12.166857971595086}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.966259330078385}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.750493272177156}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.467402420127236}, {'start_idx': 12400, 'end_idx': 12499, 'score': 11.154719215492722}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.885265065574664}, {'start_idx': 12600, 'end_idx': 12699, 'score': 10.33518166367133}, {'start_idx': 12700, 'end_idx': 12742, 'score': 9.824159353354277}]",0,1,1,[],"[(11107, 12749)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 14.195664937484185}, {'start_idx': 11200, 'end_idx': 11299, 'score': 15.103590201024618}, {'start_idx': 11300, 'end_idx': 11399, 'score': 15.27738054453301}, {'start_idx': 11400, 'end_idx': 11499, 'score': 14.815916103976097}, {'start_idx': 11500, 'end_idx': 11599, 'score': 14.132792086190642}, {'start_idx': 11600, 'end_idx': 11699, 'score': 13.610763494895489}, {'start_idx': 11700, 'end_idx': 11799, 'score': 13.241258169189113}, {'start_idx': 11800, 'end_idx': 11899, 'score': 12.811934699946393}, {'start_idx': 11900, 'end_idx': 11999, 'score': 12.436661851824105}, {'start_idx': 12000, 'end_idx': 12099, 'score': 12.166857971595086}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.966259330078385}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.750493272177156}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.467402420127236}, {'start_idx': 12400, 'end_idx': 12499, 'score': 11.154719215492722}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.885265065574664}, {'start_idx': 12600, 'end_idx': 12699, 'score': 10.33518166367133}, {'start_idx': 12700, 'end_idx': 12742, 'score': 9.824159353354277}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_10,20742,27511,1,0.02329629407105815,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 13.660994523427338}, {'start_idx': 11200, 'end_idx': 11299, 'score': 14.51966902829036}, {'start_idx': 11300, 'end_idx': 11399, 'score': 14.535764686337995}, {'start_idx': 11400, 'end_idx': 11499, 'score': 14.218997437904818}, {'start_idx': 11500, 'end_idx': 11599, 'score': 13.91950118560148}, {'start_idx': 11600, 'end_idx': 11699, 'score': 13.515092446206909}, {'start_idx': 11700, 'end_idx': 11799, 'score': 13.062074985325902}, {'start_idx': 11800, 'end_idx': 11899, 'score': 12.609400325313016}, {'start_idx': 11900, 'end_idx': 11999, 'score': 12.389765385209214}, {'start_idx': 12000, 'end_idx': 12099, 'score': 12.138280219289912}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.906016932371234}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.747754700002385}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.492811471441746}, {'start_idx': 12400, 'end_idx': 12499, 'score': 11.221545320020118}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.974964175199748}, {'start_idx': 12600, 'end_idx': 12699, 'score': 10.405273823184311}, {'start_idx': 12700, 'end_idx': 12766, 'score': 9.873030212653232}]",0,1,1,[],"[(11107, 12773)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 13.660994523427338}, {'start_idx': 11200, 'end_idx': 11299, 'score': 14.51966902829036}, {'start_idx': 11300, 'end_idx': 11399, 'score': 14.535764686337995}, {'start_idx': 11400, 'end_idx': 11499, 'score': 14.218997437904818}, {'start_idx': 11500, 'end_idx': 11599, 'score': 13.91950118560148}, {'start_idx': 11600, 'end_idx': 11699, 'score': 13.515092446206909}, {'start_idx': 11700, 'end_idx': 11799, 'score': 13.062074985325902}, {'start_idx': 11800, 'end_idx': 11899, 'score': 12.609400325313016}, {'start_idx': 11900, 'end_idx': 11999, 'score': 12.389765385209214}, {'start_idx': 12000, 'end_idx': 12099, 'score': 12.138280219289912}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.906016932371234}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.747754700002385}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.492811471441746}, {'start_idx': 12400, 'end_idx': 12499, 'score': 11.221545320020118}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.974964175199748}, {'start_idx': 12600, 'end_idx': 12699, 'score': 10.405273823184311}, {'start_idx': 12700, 'end_idx': 12766, 'score': 9.873030212653232}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_6,20742,27511,1,0.021094322382042743,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 8.65631483720634}, {'start_idx': 11200, 'end_idx': 11299, 'score': 11.131721787695339}, {'start_idx': 11300, 'end_idx': 11399, 'score': 12.390087837301934}, {'start_idx': 11400, 'end_idx': 11499, 'score': 12.507594266513928}, {'start_idx': 11500, 'end_idx': 11599, 'score': 12.494649085308021}, {'start_idx': 11600, 'end_idx': 11699, 'score': 12.27254018395199}, {'start_idx': 11700, 'end_idx': 11799, 'score': 12.116369935767784}, {'start_idx': 11800, 'end_idx': 11899, 'score': 11.80346270437291}, {'start_idx': 11900, 'end_idx': 11999, 'score': 11.727768004061883}, {'start_idx': 12000, 'end_idx': 12099, 'score': 11.498826805085496}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.331835834737936}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.208332832914941}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.01736729115348}, {'start_idx': 12400, 'end_idx': 12499, 'score': 10.741803250133035}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.49497636610416}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.985116445768385}, {'start_idx': 12700, 'end_idx': 12752, 'score': 9.492477340683587}]",0,1,1,[],"[(11107, 12759)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 8.65631483720634}, {'start_idx': 11200, 'end_idx': 11299, 'score': 11.131721787695339}, {'start_idx': 11300, 'end_idx': 11399, 'score': 12.390087837301934}, {'start_idx': 11400, 'end_idx': 11499, 'score': 12.507594266513928}, {'start_idx': 11500, 'end_idx': 11599, 'score': 12.494649085308021}, {'start_idx': 11600, 'end_idx': 11699, 'score': 12.27254018395199}, {'start_idx': 11700, 'end_idx': 11799, 'score': 12.116369935767784}, {'start_idx': 11800, 'end_idx': 11899, 'score': 11.80346270437291}, {'start_idx': 11900, 'end_idx': 11999, 'score': 11.727768004061883}, {'start_idx': 12000, 'end_idx': 12099, 'score': 11.498826805085496}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.331835834737936}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.208332832914941}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.01736729115348}, {'start_idx': 12400, 'end_idx': 12499, 'score': 10.741803250133035}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.49497636610416}, {'start_idx': 12600, 'end_idx': 12699, 'score': 9.985116445768385}, {'start_idx': 12700, 'end_idx': 12752, 'score': 9.492477340683587}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_17,20742,27511,1,0.018027066725386974,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 10.308252375024553}, {'start_idx': 11200, 'end_idx': 11299, 'score': 12.691669751216256}, {'start_idx': 11300, 'end_idx': 11399, 'score': 13.54925804623223}, {'start_idx': 11400, 'end_idx': 11499, 'score': 13.5995010956446}, {'start_idx': 11500, 'end_idx': 11599, 'score': 13.418125706563984}, {'start_idx': 11600, 'end_idx': 11699, 'score': 13.205994346723847}, {'start_idx': 11700, 'end_idx': 11799, 'score': 12.875972648128595}, {'start_idx': 11800, 'end_idx': 11899, 'score': 12.458213121347441}, {'start_idx': 11900, 'end_idx': 11999, 'score': 12.211669931714953}, {'start_idx': 12000, 'end_idx': 12099, 'score': 11.987776580398991}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.789919132222012}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.5992445055117}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.313242368266678}, {'start_idx': 12400, 'end_idx': 12499, 'score': 11.036019051748024}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.794331062350498}, {'start_idx': 12600, 'end_idx': 12699, 'score': 10.251767786627626}, {'start_idx': 12700, 'end_idx': 12758, 'score': 9.735295851853442}]",0,1,1,[],"[(11107, 12765)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 10.308252375024553}, {'start_idx': 11200, 'end_idx': 11299, 'score': 12.691669751216256}, {'start_idx': 11300, 'end_idx': 11399, 'score': 13.54925804623223}, {'start_idx': 11400, 'end_idx': 11499, 'score': 13.5995010956446}, {'start_idx': 11500, 'end_idx': 11599, 'score': 13.418125706563984}, {'start_idx': 11600, 'end_idx': 11699, 'score': 13.205994346723847}, {'start_idx': 11700, 'end_idx': 11799, 'score': 12.875972648128595}, {'start_idx': 11800, 'end_idx': 11899, 'score': 12.458213121347441}, {'start_idx': 11900, 'end_idx': 11999, 'score': 12.211669931714953}, {'start_idx': 12000, 'end_idx': 12099, 'score': 11.987776580398991}, {'start_idx': 12100, 'end_idx': 12199, 'score': 11.789919132222012}, {'start_idx': 12200, 'end_idx': 12299, 'score': 11.5992445055117}, {'start_idx': 12300, 'end_idx': 12399, 'score': 11.313242368266678}, {'start_idx': 12400, 'end_idx': 12499, 'score': 11.036019051748024}, {'start_idx': 12500, 'end_idx': 12599, 'score': 10.794331062350498}, {'start_idx': 12600, 'end_idx': 12699, 'score': 10.251767786627626}, {'start_idx': 12700, 'end_idx': 12758, 'score': 9.735295851853442}]","[[149, 283], [11424, 13656]]"
2023-10-02_11.56.58,phoenixws_average_4,20742,27511,1,0.021879734331827768,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 5.234524575927888}, {'start_idx': 11200, 'end_idx': 11299, 'score': 7.0223105444025515}, {'start_idx': 11300, 'end_idx': 11399, 'score': 7.987356487549658}, {'start_idx': 11400, 'end_idx': 11499, 'score': 8.566849783773815}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.110591782761546}, {'start_idx': 11600, 'end_idx': 11699, 'score': 9.268591489010126}, {'start_idx': 11700, 'end_idx': 11799, 'score': 9.413809091166891}, {'start_idx': 11800, 'end_idx': 11899, 'score': 9.405367893219214}, {'start_idx': 11900, 'end_idx': 11999, 'score': 9.495493049754643}, {'start_idx': 12000, 'end_idx': 12099, 'score': 9.504018009358417}, {'start_idx': 12100, 'end_idx': 12199, 'score': 9.510722770894098}, {'start_idx': 12200, 'end_idx': 12299, 'score': 9.508983050676997}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.504505254924362}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.42614720135283}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.327095806092183}, {'start_idx': 12600, 'end_idx': 12699, 'score': 8.924712979647369}, {'start_idx': 12700, 'end_idx': 12781, 'score': 8.557287666814748}]",0,1,1,[],"[(11107, 12788)]",2,"[{'start_idx': 11100, 'end_idx': 11199, 'score': 5.234524575927888}, {'start_idx': 11200, 'end_idx': 11299, 'score': 7.0223105444025515}, {'start_idx': 11300, 'end_idx': 11399, 'score': 7.987356487549658}, {'start_idx': 11400, 'end_idx': 11499, 'score': 8.566849783773815}, {'start_idx': 11500, 'end_idx': 11599, 'score': 9.110591782761546}, {'start_idx': 11600, 'end_idx': 11699, 'score': 9.268591489010126}, {'start_idx': 11700, 'end_idx': 11799, 'score': 9.413809091166891}, {'start_idx': 11800, 'end_idx': 11899, 'score': 9.405367893219214}, {'start_idx': 11900, 'end_idx': 11999, 'score': 9.495493049754643}, {'start_idx': 12000, 'end_idx': 12099, 'score': 9.504018009358417}, {'start_idx': 12100, 'end_idx': 12199, 'score': 9.510722770894098}, {'start_idx': 12200, 'end_idx': 12299, 'score': 9.508983050676997}, {'start_idx': 12300, 'end_idx': 12399, 'score': 9.504505254924362}, {'start_idx': 12400, 'end_idx': 12499, 'score': 9.42614720135283}, {'start_idx': 12500, 'end_idx': 12599, 'score': 9.327095806092183}, {'start_idx': 12600, 'end_idx': 12699, 'score': 8.924712979647369}, {'start_idx': 12700, 'end_idx': 12781, 'score': 8.557287666814748}]","[[149, 283], [11424, 13656]]"
